**** BEGIN LOGGING AT Wed Jan 09 06:12:16 2013
Jan 09 06:12:16 *	Now talking on #derrorim
Jan 09 06:13:00 *	lordofhaskel (lordofhask@unknown) has joined #derrorim
Jan 09 06:14:02 *	lordofhaskel (lordofhask@unknown) has left #derrorim (Leaving)
Jan 09 06:16:41 *	ap0linand0r (ap0linand0@unknown) has joined #derrorim
Jan 09 06:17:22 *	ap0linand0r has quit (Quit: Leaving)
Jan 09 06:17:37 *	ap0linand0r (ap0linand0@unknown) has joined #derrorim
Jan 09 06:18:08 *	lordofhaskel (lordofhask@unknown) has joined #derrorim
Jan 09 06:18:36 <ap0linand0r>	hi
Jan 09 06:18:46 <Paul_Axe>	morning guys
Jan 09 06:18:54 <ap0linand0r>	how's integration with detcelfer?
Jan 09 06:19:06 <lordofhaskel>	ok
Jan 09 06:20:05 <lordofhaskel>	preparing pill script with its projection
Jan 09 06:21:13 <lordofhaskel>	Detcelfer will be a kind little worm)
Jan 09 06:21:22 <ap0linand0r>	ы
Jan 09 06:21:37 <lordofhaskel>	?
Jan 09 06:21:49 <ap0linand0r>	*lol
Jan 09 06:23:18 <lordofhaskel>	i think that will take 2-3 days
Jan 09 06:23:28 <ap0linand0r>	ok then
Jan 09 06:24:30 *	You have left channel #derrorim (Leaving)
**** ENDING LOGGING AT Wed Jan 09 06:24:30 2013
