**** BEGIN LOGGING AT Wed Feb 20 10:46:10 2013

Feb 20 10:46:17 <Paul_Axe>	hey, is it true?
Feb 20 10:48:07 <Paul_Axe>	you can't trick me, I won't believe that you did not know what you were doing
Feb 20 10:48:22 <Paul_Axe>	all of us were warned
Feb 20 10:48:33 <Paul_Axe>	and I think you are in a big danger now
Feb 20 10:48:48 <GeraldMalkin>	what we are doing won't bring us any good...
Feb 20 10:48:49 <Paul_Axe>	just tell me one thing: why??
Feb 20 10:49:36 <GeraldMalkin>	i just feel that I should tell everyone about this mess
Feb 20 10:51:00 <Paul_Axe>	so you did know what you were  doing
Feb 20 10:51:58 <Paul_Axe>	man, I hope you are well prepared
Feb 20 10:52:30 <Paul_Axe>	if this is really so bad as ap0linand0r says, all you can do now is run
Feb 20 10:52:33 <GeraldMalkin>	we'll see
Feb 20 10:58:10 *	Disconnected (Connection reset by peer).
**** ENDING LOGGING AT Wed Feb 20 12:00:26 2013

