10.5.1.2 team1 ppp
10.5.2.2 team2 team9447
10.5.3.2 team3 reckless
10.5.4.2 team4 routards
10.5.5.2 team5 raon_asrt
10.5.6.2 team6 kaist
10.5.7.2 team7 shellphish
10.5.8.2 team8 codered
10.5.9.2 team9 hitcon
10.5.10.2 team10 blue-lotus
10.5.11.2 team11 hackingforchimac
10.5.12.2 team12 mmibh
10.5.13.2 team13 w3stormz
10.5.14.2 team14 mslc
10.5.15.2 team15 dragonsector
10.5.16.2 team16 penthackon
10.5.17.2 team17 stratum
10.5.18.2 team18 gallopsled
10.5.19.2 team19 balalaikacr3w
10.5.20.2 team20 binja
